NAME,POP100
Allegany County,48946
Bronx County,1385108
Broome County,200600
Cattaraugus County,80317
Cayuga County,80026
Chautauqua County,134905
Chemung County,88830
Chenango County,50477
Clinton County,82128
Columbia County,63096
Cortland County,49336
Delaware County,47980
Dutchess County,297488
Erie County,919040
Essex County,39370
Genesee County,60079
Greene County,49221
Herkimer County,64519
Jefferson County,116229
Kings County,2504700
Lewis County,27087
Livingston County,65393
Madison County,73442
Monroe County,744344
Montgomery County,50219
Nassau County,1339532
Niagara County,216469
Oneida County,234878
Onondaga County,467026
Ontario County,107931
Oswego County,122109
Otsego County,62259
Putnam County,99710
Queens County,2230722
Rensselaer County,159429
Richmond County,468730
Rockland County,311687
St. Lawrence County,111944
Saratoga County,219607
Schenectady County,154727
Seneca County,35251
Steuben County,98990
Sullivan County,77547
Tompkins County,101564
Warren County,65707
Washington County,63216
Wayne County,93772
Westchester County,949113
Yates County,25348
Orleans County,42883
Suffolk County,1493350
Albany County,304204
Franklin County,51599
Fulton County,55531
Hamilton County,4836
New York County,1585873
Orange County,372813
Schoharie County,32749
Schuyler County,18343
Tioga County,51125
Ulster County,182493
Wyoming County,42155
